date,dayofweek,status,isholiday
2020-01-01,3,1,Y
2020-01-02,4,0,N
2020-01-03,5,0,N
2020-01-04,6,0,Y
2020-01-05,7,0,Y
2020-01-06,1,0,N
2020-01-07,2,0,N
2020-01-08,3,0,N
2020-01-09,4,0,N
2020-01-10,5,0,N
2020-01-11,6,0,Y
2020-01-12,7,0,Y
2020-01-13,1,0,N
2020-01-14,2,0,N
2020-01-15,3,0,N
2020-01-16,4,0,N
2020-01-17,5,0,N
2020-01-18,6,0,Y
2020-01-19,7,2,N
2020-01-20,1,0,N
2020-01-21,2,0,N
2020-01-22,3,0,N
2020-01-23,4,0,N
2020-01-24,5,1,Y
2020-01-25,6,1,Y
2020-01-26,7,1,Y
2020-01-27,1,1,Y
2020-01-28,2,1,Y
2020-01-29,3,1,Y
2020-01-30,4,1,Y
2020-01-31,5,1,Y
2020-02-01,6,1,Y
2020-02-02,7,1,Y
2020-02-03,1,0,N
2020-02-04,2,0,N
2020-02-05,3,0,N
2020-02-06,4,0,N
2020-02-07,5,0,N
2020-02-08,6,0,Y
2020-02-09,7,0,Y
2020-02-10,1,0,N
2020-02-11,2,0,N
2020-02-12,3,0,N
2020-02-13,4,0,N
2020-02-14,5,0,N
2020-02-15,6,0,Y
2020-02-16,7,0,Y
2020-02-17,1,0,N
2020-02-18,2,0,N
2020-02-19,3,0,N
2020-02-20,4,0,N
2020-02-21,5,0,N
2020-02-22,6,0,Y
2020-02-23,7,0,Y
2020-02-24,1,0,N
2020-02-25,2,0,N
2020-02-26,3,0,N
2020-02-27,4,0,N
2020-02-28,5,0,N
2020-02-29,6,0,Y
2020-03-01,7,0,Y
2020-03-02,1,0,N
2020-03-03,2,0,N
2020-03-04,3,0,N
2020-03-05,4,0,N
2020-03-06,5,0,N
2020-03-07,6,0,Y
2020-03-08,7,0,Y
2020-03-09,1,0,N
2020-03-10,2,0,N
2020-03-11,3,0,N
2020-03-12,4,0,N
2020-03-13,5,0,N
2020-03-14,6,0,Y
2020-03-15,7,0,Y
2020-03-16,1,0,N
2020-03-17,2,0,N
2020-03-18,3,0,N
2020-03-19,4,0,N
2020-03-20,5,0,N
2020-03-21,6,0,Y
2020-03-22,7,0,Y
2020-03-23,1,0,N
2020-03-24,2,0,N
2020-03-25,3,0,N
2020-03-26,4,0,N
2020-03-27,5,0,N
2020-03-28,6,0,Y
2020-03-29,7,0,Y
2020-03-30,1,0,N
2020-03-31,2,0,N
2020-04-01,3,0,N
2020-04-02,4,0,N
2020-04-03,5,0,N
2020-04-04,6,1,Y
2020-04-05,7,1,Y
2020-04-06,1,1,Y
2020-04-07,2,0,N
2020-04-08,3,0,N
2020-04-09,4,0,N
2020-04-10,5,0,N
2020-04-11,6,0,Y
2020-04-12,7,0,Y
2020-04-13,1,0,N
2020-04-14,2,0,N
2020-04-15,3,0,N
2020-04-16,4,0,N
2020-04-17,5,0,N
2020-04-18,6,0,Y
2020-04-19,7,0,Y
2020-04-20,1,0,N
2020-04-21,2,0,N
2020-04-22,3,0,N
2020-04-23,4,0,N
2020-04-24,5,0,N
2020-04-25,6,0,Y
2020-04-26,7,2,N
2020-04-27,1,0,N
2020-04-28,2,0,N
2020-04-29,3,0,N
2020-04-30,4,0,N
2020-05-01,5,1,Y
2020-05-02,6,1,Y
2020-05-03,7,1,Y
2020-05-04,1,1,Y
2020-05-05,2,1,Y
2020-05-06,3,0,N
2020-05-07,4,0,N
2020-05-08,5,0,N
2020-05-09,6,2,N
2020-05-10,7,0,Y
2020-05-11,1,0,N
2020-05-12,2,0,N
2020-05-13,3,0,N
2020-05-14,4,0,N
2020-05-15,5,0,N
2020-05-16,6,0,Y
2020-05-17,7,0,Y
2020-05-18,1,0,N
2020-05-19,2,0,N
2020-05-20,3,0,N
2020-05-21,4,0,N
2020-05-22,5,0,N
2020-05-23,6,0,Y
2020-05-24,7,0,Y
2020-05-25,1,0,N
2020-05-26,2,0,N
2020-05-27,3,0,N
2020-05-28,4,0,N
2020-05-29,5,0,N
2020-05-30,6,0,Y
2020-05-31,7,0,Y
2020-06-01,1,0,N
2020-06-02,2,0,N
2020-06-03,3,0,N
2020-06-04,4,0,N
2020-06-05,5,0,N
2020-06-06,6,0,Y
2020-06-07,7,0,Y
2020-06-08,1,0,N
2020-06-09,2,0,N
2020-06-10,3,0,N
2020-06-11,4,0,N
2020-06-12,5,0,N
2020-06-13,6,0,Y
2020-06-14,7,0,Y
2020-06-15,1,0,N
2020-06-16,2,0,N
2020-06-17,3,0,N
2020-06-18,4,0,N
2020-06-19,5,0,N
2020-06-20,6,0,Y
2020-06-21,7,0,Y
2020-06-22,1,0,N
2020-06-23,2,0,N
2020-06-24,3,0,N
2020-06-25,4,1,Y
2020-06-26,5,1,Y
2020-06-27,6,1,Y
2020-06-28,7,2,N
2020-06-29,1,0,N
2020-06-30,2,0,N
2020-07-01,3,0,N
2020-07-02,4,0,N
2020-07-03,5,0,N
2020-07-04,6,0,Y
2020-07-05,7,0,Y
2020-07-06,1,0,N
2020-07-07,2,0,N
2020-07-08,3,0,N
2020-07-09,4,0,N
2020-07-10,5,0,N
2020-07-11,6,0,Y
2020-07-12,7,0,Y
2020-07-13,1,0,N
2020-07-14,2,0,N
2020-07-15,3,0,N
2020-07-16,4,0,N
2020-07-17,5,0,N
2020-07-18,6,0,Y
2020-07-19,7,0,Y
2020-07-20,1,0,N
2020-07-21,2,0,N
2020-07-22,3,0,N
2020-07-23,4,0,N
2020-07-24,5,0,N
2020-07-25,6,0,Y
2020-07-26,7,0,Y
2020-07-27,1,0,N
2020-07-28,2,0,N
2020-07-29,3,0,N
2020-07-30,4,0,N
2020-07-31,5,0,N
2020-08-01,6,0,Y
2020-08-02,7,0,Y
2020-08-03,1,0,N
2020-08-04,2,0,N
2020-08-05,3,0,N
2020-08-06,4,0,N
2020-08-07,5,0,N
2020-08-08,6,0,Y
2020-08-09,7,0,Y
2020-08-10,1,0,N
2020-08-11,2,0,N
2020-08-12,3,0,N
2020-08-13,4,0,N
2020-08-14,5,0,N
2020-08-15,6,0,Y
2020-08-16,7,0,Y
2020-08-17,1,0,N
2020-08-18,2,0,N
2020-08-19,3,0,N
2020-08-20,4,0,N
2020-08-21,5,0,N
2020-08-22,6,0,Y
2020-08-23,7,0,Y
2020-08-24,1,0,N
2020-08-25,2,0,N
2020-08-26,3,0,N
2020-08-27,4,0,N
2020-08-28,5,0,N
2020-08-29,6,0,Y
2020-08-30,7,0,Y
2020-08-31,1,0,N
2020-09-01,2,0,N
2020-09-02,3,0,N
2020-09-03,4,0,N
2020-09-04,5,0,N
2020-09-05,6,0,Y
2020-09-06,7,0,Y
2020-09-07,1,0,N
2020-09-08,2,0,N
2020-09-09,3,0,N
2020-09-10,4,0,N
2020-09-11,5,0,N
2020-09-12,6,0,Y
2020-09-13,7,0,Y
2020-09-14,1,0,N
2020-09-15,2,0,N
2020-09-16,3,0,N
2020-09-17,4,0,N
2020-09-18,5,0,N
2020-09-19,6,0,Y
2020-09-20,7,0,Y
2020-09-21,1,0,N
2020-09-22,2,0,N
2020-09-23,3,0,N
2020-09-24,4,0,N
2020-09-25,5,0,N
